District,SCRN,School English Name,K1 Vacancy Status (Y/N/P),K1 As At Date
SAI KUNG,534153-0001,TSING YI TRADE ASSN TSEUNG KWAN O KG,N,04/07/2023
SAI KUNG,158470-0001,TSUI LAM ESTATE BAPTIST KINDERGARTEN,Y,04/07/2023
SAI KUNG,158526-0001,TSUNG TSIN MISSION GRACEFUL KINDERGARTEN,Y,04/07/2023
SAI KUNG,559385-0001,TWGHS LIONS CLUB OF METROPOLITAN H K KG,Y,04/07/2023
SAI KUNG,158984-0001,TWGHS NICKON KG,P,04/07/2023
SAI KUNG,540811-0001,YAN OI TONG DAN YANG WING MAN KG,Y,04/07/2023
SHA TIN,563838-0001,ALICE LAN&VERA SHEN EDU F DELIA PEI KG,Y,04/07/2023
SHA TIN,543861-0001,ASSEMBLY OF GOD UNION CHURCH KG,Y,04/07/2023
SHA TIN,564923-0001,BAPTIST CONVENTION OF HK LEE ON NURSERY,Y,04/07/2023
SHA TIN,565857-0001,C & MA SHATIN NURSERY SCH,Y,04/07/2023
SHA TIN,524328-0001,C&MA JOYFUL PEACE KINDERGARTEN,Y,04/07/2023
SHA TIN,565970-0001,CARITAS NURSERY SCHOOL - SHATIN,N,04/07/2023
SHA TIN,157295-0001,"CCC, SHATIN CHURCH POK HONG KINDERGARTEN",Y,04/07/2023
SHA TIN,522678-0001,CHR LITTLE ANGEL KG (KAM FUNG COURT),Y,04/07/2023
SHA TIN,537578-0001,CREATIVE KINDERGARTEN (CASTELLO),Y,04/07/2023
SHA TIN,158887-0001,CUHKFAA THOMAS CHEUNG KINDERGARTEN,Y,04/07/2023
SHA TIN,564826-0001,ELCHK  CHUNG ON NURSERY SCHOOL,P,04/07/2023
SHA TIN,151203-0001,ELCHK SHATIN LUTHERAN KINDERGARTEN,Y,04/07/2023
SHA TIN,563862-0001,EMMANUEL CHURCH SHATIN NURSERY SCHOOL,P,04/07/2023
SHA TIN,563854-0001,FM CHURCH BRADBURY CHUN LEI NURSERY SCH,Y,04/07/2023
SHA TIN,565431-0001,HENG ON BAPTIST NURSERY SCHOOL,P,04/07/2023
SHA TIN,563900-0001,HK & KKWA TING SUN HUI CHIU KG,N,04/07/2023
SHA TIN,157597-0001,HK&KKFWA SUN FONG CHUNG KG,P,04/07/2023
SHA TIN,564320-0001,HK&KKWA SUN FONG CHUNG KG (SUI WO COURT),N,04/07/2023
SHA TIN,614106-0001,HKCS PARIO KINDERGARTEN (SHATIN),Y,04/07/2023
SHA TIN,565261-0001,HKSPC THE JOCKEY CLUB HOK SAM NUR SCH,Y,04/07/2023
SHA TIN,563234-0001,HKYWCA LUNG HANG NURSERY SCHOOL,P,04/07/2023
SHA TIN,524441-0001,HOP YAT CHURCH SHIN KA CHUEN MEM KG,P,04/07/2023
SHA TIN,151009-0001,IMMACULATE HEART OF MARY KINDERGARTEN,P,04/07/2023
SHA TIN,158569-0001,KOWLOON CITY BAPTIST CHURCH HAY NIEN KG,Y,04/07/2023
SHA TIN,158704-0001,KWONG LAM BAPTIST LUI KWOK PAT FONG KG,Y,04/07/2023
SHA TIN,324884-0002,LOK SIN TONG LEE YIN YEE KINDERGARTEN,P,04/07/2023
SHA TIN,157864-0001,LOK SIN TONG STEPHEN LEUNG KINDERGARTEN,Y,04/07/2023
SHA TIN,157600-0001,LOVING HEART LUTHERAN KINDERGARTEN,Y,04/07/2023
SHA TIN,564559-0001,LUTHERAN PHILIP HSE OI LUN NURSERY SCH,Y,04/07/2023
SHA TIN,520071-0001,MA ON SHAN LING LIANG KINDERGARTEN,Y,04/07/2023
SHA TIN,157058-0001,MEI LAM ESTATE TO KWONG KINDERGARTEN,Y,04/07/2023
SHA TIN,563625-0001,NEW KLN WOMEN ASSN SHA KOK NURSERY,N,04/07/2023
SHA TIN,563633-0001,NEW KLN WOMEN ASSN SUN CHUI NURSERY,Y,04/07/2023
SHA TIN,566314-0001,NTW&JWA L POK HONG NURSERY SCHOOL,N,04/07/2023
SHA TIN,158429-0001,PEACE EVANGELICAL CENTRE KINDERGARTEN,Y,04/07/2023
SHA TIN,158240-0001,PLK FUNG LEUNG KIT MEMORIAL KINDERGARTEN,Y,04/07/2023
SHA TIN,156779-0001,PLK NG TOR TAI KINDERGARTEN,Y,04/07/2023
SHA TIN,565326-0001,PO LEUNG KUK TONG CHOR NAM (LEK YUEN) KG,Y,04/07/2023
SHA TIN,562947-0001,SA JAT MIN NURSERY SCH,N,04/07/2023
SHA TIN,156973-0001,SA TIN KA PING KINDERGARTEN,Y,04/07/2023
SHA TIN,563153-0001,SA WO CHE NURSERY SCH,N,04/07/2023
SHA TIN,156493-0001,SKH HOLY SPIRIT CHURCH KG,Y,04/07/2023
SHA TIN,159212-0001,STEWARDS POOI CHUN KINDERGARTEN,Y,04/07/2023
SHA TIN,158160-0001,STFA LEUNG LEE SAU YU (SHATIN) KG,P,04/07/2023
SHA TIN,576743-0001,THE SAL ARMY CENTALINE CHARITY FUND KG,Y,04/07/2023
SHA TIN,605620-0001,THE SALVATION ARMY SHUI CHUEN O KG,Y,04/07/2023
SHA TIN,564753-0002,TRUTH BAPTIST CHURCH GLORY NURSERY,Y,04/07/2023
SHA TIN,528811-0001,TRUTH BAPTIST CHURCH GRACE KINDERGARTEN,Y,04/07/2023
SHA TIN,158259-0001,TRUTH BAPTIST CHURCH KINDERGARTEN,Y,04/07/2023
SHA TIN,158860-0001,TRUTH BAPTIST CHURCH PICTORIAL KG,Y,04/07/2023
SHA TIN,540579-0001,TSUNG TSIN MISS GRACEFUL KG (MA ON SHAN),Y,04/07/2023
SHA TIN,609137-0001,TTMHK ON CHUNG KG,Y,04/07/2023
SHA TIN,157384-0001,TWGH CHAN KING HAR KINDERGARTEN,Y,04/07/2023
SHA TIN,156752-0001,TWGH LIU YAN TAK MEMORIAL KINDERGARTEN,Y,04/07/2023
SHA TIN,157511-0001,TWGH LUI FUNG FAUNG MEMORIAL KG,Y,04/07/2023
SHA TIN,564109-0001,TWGHS LIONS CLUB SOUTH KLN NURSERY SCH,Y,04/07/2023
SHA TIN,618594-0001,YAN OI TONG MRS CHENG TING KONG KINDERGA,Y,04/07/2023
SHA TIN,231398-0001,YIU WING ANGLO-CHINESE KINDERGARTEN,Y,04/07/2023
SHA TIN,157619-0001,YUE TIN COURT YIU WING ANGLO-CHINESE KG,N,04/07/2023
KWAI TSING,540498-0001,ANANI KINDERGARTEN,Y,04/07/2023
KWAI TSING,510726-0001,ASBURY METHODIST KINDERGARTEN,P,04/07/2023
KWAI TSING,559962-0001,CCC CHUEN YUEN KINDERGARTEN,Y,04/07/2023
KWAI TSING,565733-0001,CHEUNG CHING LUTHERAN DAY NURSERY,Y,04/07/2023
KWAI TSING,564680-0001,CHINESE YMCA KWAI CHUNG KINDERGARTEN,Y,04/07/2023
KWAI TSING,231240-0001,CHOICE ENGLISH SCH & KG (TSING YI BR),Y,04/07/2023
KWAI TSING,534226-0001,CREATIVE KINDERGARTEN (TSING YI),N,04/07/2023
KWAI TSING,565571-0001,ELCHK  GRACE NURSERY SCHOOL,N,04/07/2023
KWAI TSING,564842-0001,ELCHK  LING KUNG NURSERY SCHOOL,N,04/07/2023
KWAI TSING,156272-0001,FU YIU KINDERGARTEN,Y,04/07/2023
KWAI TSING,157643-0001,GREENVILLE ANGLO-CHINESE KINDERGARTEN,Y,04/07/2023
KWAI TSING,612561-0001,HEEP HONG SOCIETY SFA HEALTHY KIDS KG,Y,04/07/2023
KWAI TSING,159000-0001,HK SKH THE CHURCH OF THE EPIPHANY KG,Y,04/07/2023
KWAI TSING,564893-0001,HKSKH LADY MACLEHOSE CTR (SHEK YAM) KG,P,04/07/2023
KWAI TSING,564907-0001,HKSKH LADY MACLEHOSE CTR KG,Y,04/07/2023
KWAI TSING,563358-0001,HKSKH ST NICHOLAS' NURSERY SCHOOL,Y,04/07/2023
KWAI TSING,564494-0001,HKYWCA CHEUNG CHING NURSERY SCHOOL,Y,04/07/2023
KWAI TSING,158461-0001,ISLAMIC POK OI KINDERGARTEN,Y,04/07/2023
KWAI TSING,155560-0001,KWAI CHUNG BAPTIST CHURCH KINDERGARTEN,Y,04/07/2023
KWAI TSING,528153-0001,KWAI SHING RHENISH CHURCH KINDERGARTEN,Y,04/07/2023
KWAI TSING,564630-0001,LAI KING RHENISH NURSERY,Y,04/07/2023
KWAI TSING,156205-0001,LOK KING KINDERGARTEN,Y,04/07/2023
KWAI TSING,565709-0001,MARITIME SQUARE LUTHERAN DAY NURSERY,N,04/07/2023
KWAI TSING,566322-0001,NTW&JWA L CHEUNG FAT NURSERY SCHOOL,Y,04/07/2023
KWAI TSING,546127-0001,PEACE EVANGELICAL CENTRE KG (TSING YI),Y,04/07/2023
KWAI TSING,158488-0001,PLK FIONA CHEUNG SUM YU KINDERGARTEN,Y,04/07/2023
KWAI TSING,566675-0001,PLK LUI CHAN WAI CHING (KWAI FONG) KG,Y,04/07/2023
KWAI TSING,563994-0001,PLK MR & MRS CHARLIE LEE KINDERGARTEN,Y,04/07/2023
KWAI TSING,158453-0001,PLK MRS CHAO KING LIN KINDERGARTEN,Y,04/07/2023
KWAI TSING,542768-0001,PLK MRS TAM WAH CHING KINDERGARTEN,Y,04/07/2023
KWAI TSING,157813-0001,PLK TIN KA PING KINDERGARTEN,Y,04/07/2023
KWAI TSING,157856-0001,ROCK OF AGES LUTHERAN KINDERGARTEN,Y,04/07/2023
KWAI TSING,157678-0001,SA FU KEUNG KINDERGARTEN,P,04/07/2023
KWAI TSING,563099-0001,SA TAI WO HAU NURSERY SCH,Y,04/07/2023
KWAI TSING,582530-0001,SIN CHING KINDERGARTEN,Y,04/07/2023
KWAI TSING,526665-0001,SKH CROWN OF THORNS CHURCH KWAI CHUNG KG,P,04/07/2023
KWAI TSING,153087-0001,SKH CROWN OF THORNS CHURCH SADICK KG,Y,04/07/2023
KWAI TSING,568104-0001,SKH ST CHRISTOPHER'S NUR (KWAI CHUNG),P,04/07/2023
KWAI TSING,156841-0001,ST STEPHEN'S CATHOLIC KINDERGARTEN,Y,04/07/2023
KWAI TSING,532533-0001,ST THOMAS' CATHOLIC KINDERGARTEN,Y,04/07/2023
KWAI TSING,231347-0001,SUN ISLAND ENGLISH KG (KWAI HING BRANCH),Y,04/07/2023
KWAI TSING,231576-0001,SUN ISLAND ENGLISH KG (KWAI KING BRANCH),Y,04/07/2023
KWAI TSING,156426-0001,SUNG KEI KINDERGARTEN,Y,04/07/2023
KWAI TSING,519103-0001,TIVOLI ANGLO-CHINESE KINDERGARTEN,Y,04/07/2023
KWAI TSING,564761-0001,TIVOLI KINDERGARTEN,Y,04/07/2023
KWAI TSING,158070-0001,TSING YI TRADE ASSOCIATION KINDERGARTEN,Y,04/07/2023
KWAI TSING,519448-0001,TSING YI TRADE ASSOCIATION SHEK YAM KG,Y,04/07/2023
KWAI TSING,549355-0001,TSUEN WAN BAPTIST CHURCH SHEK LEI KG,P,04/07/2023
KWAI TSING,159026-0001,TSUEN WAN TRADE ASSN CHU CHEONG KG,Y,04/07/2023
KWAI TSING,518077-0001,TSUEN WAN TRADE ASSN YAU KIN FUNG KG,Y,04/07/2023
KWAI TSING,158640-0001,TSUEN WAN TRADE ASSOCIATION CHUNG LOI KG,Y,04/07/2023
KWAI TSING,542547-0001,TWGH WONG WU LAI MING KINDERGARTEN,Y,04/07/2023
KWAI TSING,564141-0001,TWGHS LIONS CLUB THE PEAK HK NUR SCH,Y,04/07/2023
KWAI TSING,565903-0001,W.F.B. MANJUSRI NURSERY SCH,Y,04/07/2023
KWAI TSING,563374-0001,YAN CHAI HOSPITAL JU CHING CHU KG,Y,04/07/2023
KWAI TSING,563404-0001,YAN CHAI HOSPITAL TUNG PAK YING KG,Y,04/07/2023
KWAI TSING,159093-0001,YAN OI TONG PANG HUNG CHEUNG KG,Y,04/07/2023
KWAI TSING,563382-0001,YCH ZONTA CLUB OF KOWLOON KINDERGARTEN,Y,04/07/2023
ISLANDS,517518-0001,BUDDHIST CHEUNG MUI KWAI KINDERGARTEN,Y,04/07/2023
ISLANDS,556220-0001,BUDDHIST CHUN YUE KG (TUNG CHUNG),Y,04/07/2023
ISLANDS,155233-0002,C&MA TAI O KINDERGARTEN,Y,04/07/2023
ISLANDS,151424-0001,CCC CHEUNG CHAU CHURCH KAM KONG KG,Y,04/07/2023
ISLANDS,565741-0001,CHAN EN MEI LUTHERAN DAY NURSERY,Y,04/07/2023
ISLANDS,152978-0001,CHEUNG CHAU SACRED HEART KINDERGARTEN,Y,04/07/2023
ISLANDS,554251-0001,CHR THE FAITH HOPE L CH YAT TUNG KG,Y,04/07/2023
ISLANDS,524123-0001,CPC GREEN PASTURE KG,Y,04/07/2023
ISLANDS,566926-0001,HKSKH TUNG CHUNG NURSERY SCHOOL,N,04/07/2023
ISLANDS,615080-0001,HKYWCA HELEN LEE KINDERGARTEN,Y,04/07/2023
ISLANDS,527211-0001,KWOK MAN VERNACULAR NORMAL ANGLO-CHI KG,Y,04/07/2023
ISLANDS,155705-0001,LICK HANG KINDERGARTEN,N,04/07/2023
ISLANDS,155705-0002,LICK HANG KINDERGARTEN,N,04/07/2023
ISLANDS,565717-0001,LUI KWAN POK LUTHERAN DAY NURSERY,Y,04/07/2023
ISLANDS,566381-0001,NAAC TUNG CHUNG DAY NURSERY,Y,04/07/2023
ISLANDS,575011-0001,NAAC TUNG YAN DAY NURSERY,N,04/07/2023
ISLANDS,156698-0001,NAM YING KINDERGARTEN,Y,04/07/2023
ISLANDS,151564-0001,OUR LADY OF LOURDES CATHOLIC KG,Y,04/07/2023
ISLANDS,523445-0002,PLK CHEUNG POON MEI YEE KINDERGARTEN,N,04/07/2023
ISLANDS,556122-0001,SHIN YAT TONG YAT TUNG KINDERGARTEN,Y,04/07/2023
ISLANDS,555576-0001,SUN ISLAND KINDERGARTEN (TUNG CHUNG BR),P,04/07/2023
ISLANDS,612936-0001,THE SALVATION ARMY ROSITA YUEN KG,Y,04/07/2023
ISLANDS,542296-0001,TUNG CHUNG BAPTIST KINDERGARTEN,Y,04/07/2023
ISLANDS,543004-0001,TUNG CHUNG CATHOLIC KINDERGATEN,Y,04/07/2023
ISLANDS,153931-0001,WAI PENG KINDERGARTEN SCHOOL,Y,04/07/2023
